Identifiant du carnet,Date de saisie du carnet,Date de jour de collecte,Origine,Ligne n�,Nature de la dépense,Montant,Enseigne ou type de magasin,coicop,Libellé coicop
10157469_01,11/09/2024,19/06/2024,TABLEAU,1,1 GLACE,3.5,CARREFOUR MARKET,01.1.8.6.0,"Glaces, glaces et sorbets"
10158619_01,10/09/2024,12/06/2024,TABLEAU,2,1 JOURNAL,2.1,CAFE/TABAC,09.7.2.1,Journaux (ND)
10156979_01,09/10/2024,19/06/2024,TABLEAU,2,1 JOURNAL,1.4,BOULANGERIE,09.7.2.1,Journaux (ND)
10158083_01,09/10/2024,03/07/2024,TABLEAU,2,1 LAITUE,0.9,CARREFOUR,01.1.7.1.4,"Laitues et chicorées, fraîches ou réfrigérées"
10157702_01,06/09/2024,20/06/2024,TABLEAU,8,1 LINGETTES MULTI USAGE,0.9,LIDL,05.6.1.1,Produits de nettoyage et d'entretien ménager (ND)
10158777_01,11/09/2024,29/06/2024,TABLEAU,7,1 LIVRE,20.9,MONOPRIX,09.7.1,Livres (DS)
10156800_01,11/09/2024,11/06/2024,TABLEAU,1,1 NUIT (CADEAUX),128.9,AIRBNB,11.2.0.1,Hôtels et hébergements similaires (S)
10156979_01,09/10/2024,22/06/2024,TABLEAU,1,1 PAIN,2.5,BOULANGERIE,01.1.1.3.1,Pain
10158258_01,28/08/2024,11/06/2024,TABLEAU,2,1 PAIN,2.5,BOULANGERIE,01.1.1.3.1,Pain
10156872_01,23/08/2024,31/05/2024,TABLEAU,1,1 PAIN,2,BOULANGERIE,01.1.1.3.1,Pain
10156877_01,08/10/2024,08/06/2024,TABLEAU,2,1 PAIN,1.8,BOULANGERIE,01.1.1.3.1,Pain
10158235_01,09/10/2024,22/06/2024,TABLEAU,1,1 PAIN,1.8,BOULANGERIE,01.1.1.3.1,Pain
10156549_01,29/08/2024,28/05/2024,TABLEAU,1,1 PAIN,1.5,BOUTIQUE,01.1.1.3.1,Pain
10156549_01,29/08/2024,01/06/2024,TABLEAU,1,1 PAIN,1.5,BOUTIQUE,01.1.1.3.1,Pain
10156549_01,29/08/2024,29/05/2024,TABLEAU,1,1 PAIN,1.5,BOUTIQUE,01.1.1.3.1,Pain
10156549_01,29/08/2024,02/06/2024,TABLEAU,1,1 PAIN,1.5,BOUTIQUE,01.1.1.3.1,Pain
10156549_01,29/08/2024,30/05/2024,TABLEAU,1,1 PAIN,1.5,BOUTIQUE,01.1.1.3.1,Pain
10156549_01,29/08/2024,31/05/2024,TABLEAU,3,1 PAIN,1.5,BOUTIQUE,01.1.1.3.1,Pain
10157581_01,19/08/2024,29/05/2024,TABLEAU,1,1 PAIN,1.4,BOULANGERIE MANSLES,01.1.1.3.1,Pain
10157581_01,19/08/2024,03/06/2024,TABLEAU,1,1 PAIN,1.4,//,01.1.1.3.1,Pain
10156776_01,03/09/2024,30/05/2024,TABLEAU,1,1 PAIN,1.2,//,01.1.1.3.1,Pain
10158742_01,09/08/2024,25/05/2024,TABLEAU,1,1 PAIN,1.2,BOULANGERIE,01.1.1.3.1,Pain
10156602_01,24/07/2024,04/06/2024,TABLEAU,2,1 PAIN CHOCOLAT,1.1,BOULANGERIE,01.1.1.3.9.2,Viennoiserie
10156564_01,21/08/2024,19/05/2024,TABLEAU,1,1 PAIN COCA COLA YAOURT,6.7,CARREFOUR,98.1.1,Courses alimentaires
10157226_01,20/08/2024,29/05/2024,TABLEAU,1,1 PAIN COMPLET,2.1,BOULANGERIE,01.1.1.3.1,Pain
10158122_01,27/08/2024,13/06/2024,TABLEAU,1,1 PAIN COMPLET,1.3,BOULANGERIE,01.1.1.3.1,Pain
10157340_01,21/08/2024,30/05/2024,TABLEAU,2,1 PAIN MASTIF,1.5,VOITURE A PAIN,01.1.1.3.1,Pain
10157013_01,04/09/2024,20/06/2024,TABLEAU,2,1 PAIN PAYSAN AU MARCHE,6,MARCHE ERSTI,01.1.1.3.1,Pain
10156979_01,09/10/2024,20/06/2024,TABLEAU,3,1 PAIN ROND,2.5,BOULANGERIE,01.1.1.3.1,Pain
10158742_01,09/08/2024,29/05/2024,TABLEAU,1,"1 PAIN, 1 PAQUET DE GAUFRETTE",1,1 PAQUET DE TWIX,01.1.1.3.9.3,Biscuits et gâteaux
10158133_01,09/10/2024,30/06/2024,TABLEAU,1,1 PANTALON,33.9,JOLI DRESSING,03.1.2,Vêtements (SD)
10158782_01,20/08/2024,28/05/2024,TABLEAU,5,1 PAQUET CHEVEUX D'ANGE,,COLRUYT,01.1.1.5.0,"Macaroni, nouilles, couscous et pâtes alimentaires similaires"
10157757_01,13/08/2024,28/05/2024,TABLEAU,1,1 PAQUET DE CIGARETTES,11,VIVAL,02.3.0.1,Cigarettes (ND)
10157757_01,13/08/2024,29/05/2024,TABLEAU,1,1 PAQUET DE CIGARETTES,11,VIVAL,02.3.0.1,Cigarettes (ND)
10157757_01,13/08/2024,30/05/2024,TABLEAU,1,1 PAQUET DE CIGARETTES,11,VIVAL,02.3.0.1,Cigarettes (ND)
10157757_01,13/08/2024,31/05/2024,TABLEAU,1,1 PAQUET DE CIGARETTES,11,VIVAL,02.3.0.1,Cigarettes (ND)
10157757_01,13/08/2024,01/06/2024,TABLEAU,1,1 PAQUET DE CIGARETTES,11,VIVAL,02.3.0.1,Cigarettes (ND)
10157702_01,06/09/2024,22/06/2024,TABLEAU,10,1 PASTEQUE SANS PEPIN,3.9,AUCHAN,01.1.6.5.4,"Pastèques, fraîches"
10157013_01,04/09/2024,20/06/2024,TABLEAU,1,1 PATE LORRAIN AU MARCHE,11,MARCHE ERSTI,01.1.2.5.3,"Pâté, y compris le pâté de foie"
10158186_01,06/09/2024,30/06/2024,TABLEAU,1,1 PATISSERIE,3.8,BOULANGERIE,01.1.1.3.9.1,Pâtisserie
10158637_01,10/09/2024,//,TABLEAU,2,1 PHILADELPHIA NATURE,1.8,INTERMARCHE,01.1.4.5.0,Fromage
10156502_01,22/08/2024,04/06/2024,TABLEAU,2,1 PIZZA,25,PIZZERIA,11.1.1.1,"Restaurants, cafés et établissements similaires — service complet (S)"
10157757_01,13/08/2024,29/05/2024,TABLEAU,2,1 PLEIN DE GAZOIL,85.1,SUPER U,07.2.2.1,Gazole (ND)
10157866_01,21/08/2024,01/06/2024,TABLEAU,1,1 POULET,19,MARCHE,01.1.2.2.4,"Viande de volaille, fraîche, réfrigérée ou congelée"
10158321_01,28/08/2024,14/06/2024,TABLEAU,2,1 POULET,12.9,FERME MARCOTTE,01.1.2.2.4,"Viande de volaille, fraîche, réfrigérée ou congelée"
10158258_01,28/08/2024,10/06/2024,TABLEAU,1,1 REPAS CANTINE,4,DANS L'ENTREPRISE,11.1.2.9,"Autres cantines, cafétérias et réfectoires (S)"
10158258_01,28/08/2024,11/06/2024,TABLEAU,1,1 REPAS CANTINE,4,DANS L'ENTREPRISE,11.1.2.9,"Autres cantines, cafétérias et réfectoires (S)"
10158258_01,28/08/2024,12/06/2024,TABLEAU,1,1 REPAS CANTINE,4,DANS L'ENTREPRISE,11.1.2.9,"Autres cantines, cafétérias et réfectoires (S)"
10158258_01,28/08/2024,13/06/2024,TABLEAU,1,1 REPAS CANTINE,4,DANS L'ENTREPRISE,11.1.2.9,"Autres cantines, cafétérias et réfectoires (S)"
10156762_01,03/09/2024,26/06/2024,TABLEAU,1,1 REPAS ET DEMI RESTAURANT,38.3,LE FLECH (BAR RESTAURANT),11.1.1.1,"Restaurants, cafés et autres – avec service complet (S)"
10157192_01,05/09/2024,06/06/2024,TABLEAU,1,1 REPAS VISITEUR HOPITAL MARITIME BERCK,9.5,HOPITAL MARITIME DE BERCK / MER,11.1.1.2,"Restaurants, cafés et autres – à service limité (S)"
10157702_01,06/09/2024,20/06/2024,TABLEAU,9,1 SET 3 CISEAUX,2.9,LIDL,09.7.4.0,Papeterie et matériel de dessin (ND)
10157200_01,11/09/2024,15/06/2024,TABLEAU,7,1 SOUTIEN-GORGE (FEMME),55,BOUTIQUE,03.1.2.2,Vêtements pour femmes ou filles (SD)
10157200_01,11/09/2024,15/06/2024,TABLEAU,8,1 T-SHIRT LAINE-SOIE (FEM),89,BOUTIQUE DE LINGERIE FALBALA,03.1.2.2,Vêtements pour femmes ou filles (SD)
10156979_01,09/10/2024,23/06/2024,TABLEAU,3,1 TARTE FLAN,6,BOULANGERIE,01.1.1.3.9.1,Pâtisserie
10158112_01,09/10/2024,27/05/2024,TABLEAU,1,1 TIMBRE,3.2,LA POSTE,07.4.1.1,Services de traitement du courrier (S)
10157333_01,22/08/2024,05/06/2024,TABLEAU,4,1 TOMATE PELEE,1.5,CARREFOUR,01.1.7.9.2,Légumes en conserve
10158122_01,27/08/2024,18/06/2024,TABLEAU,2,1 TOMBOLA,2,ECOLE,09.4.6.1,Services récréatifs et de loisirs (S)
10156969_01,26/08/2024,06/06/2024,TABLEAU,4,1 TRANCHE DE PATE,2.5,CARREFOUR MARKET,01.1.2.5.3,"Pâté, y compris pâté de foie"
10156549_01,29/08/2024,02/06/2024,TABLEAU,2,1 ZAKARI,1,//,01.1.1.3,Pain et produits de boulangerie (ND)
10156549_01,29/08/2024,30/05/2024,TABLEAU,2,1 ZAKARI,1,BOUTIQUE,01.1.1.3,Pain et produits de boulangerie (ND)
10156549_01,29/08/2024,31/05/2024,TABLEAU,1,1 ZAKARI,1,BOUTIQUE,01.1.1.3,Pain et produits de boulangerie (ND)
10157200_01,11/09/2024,15/06/2024,TABLEAU,1,1/2 BAGUETTE,0.6,BOULANGERIE,01.1.1.3.1,Pain
10157801_01,28/08/2024,03/06/2024,TABLEAU,1,10 BAGUETTES DE PAIN,10.4,BOULANGERIE,01.1.1.3.1,Pain
10157866_01,21/08/2024,01/06/2024,TABLEAU,2,12 OEUFS,2.4,MARCHE,01.1.4.8.1,"Œufs de poules et autres oiseaux en coquilles, frais"
10158782_01,20/08/2024,28/05/2024,TABLEAU,9,1KG FILETS DE POULET,,COLRUYT,01.1.2.2.4,"Viandes de volailles, fraîches, réfrigérées ou congelées"
10157860_01,25/07/2024,25/05/2024,TABLEAU,3,1L RICARD,18.6,INTERMARCHE,02.1.1.0,Spiritueux et liqueurs (ND)
10156503_01,29/08/2024,19/06/2024,TABLEAU,16,1PAQUET CHEWING GUM,1.1,//,01.1.8.9,Autres sucreries et desserts nca (ND)
10157108_01,05/08/2024,04/06/2024,TABLEAU,4,2 BAC D'EAU CRISTALIN,4.5,MAGASIN CARREFOUR,01.2.5.0.0,Eau
10156809_01,11/09/2024,13/06/2024,TABLEAU,1,2 BAGUETTE,2,BOULANGERIE,01.1.1.3.1,Pain
10156809_01,11/09/2024,14/06/2024,TABLEAU,1,2 BAGUETTE,2,BOULANGERIE,01.1.1.3.1,Pain
10156809_01,11/09/2024,15/06/2024,TABLEAU,1,2 BAGUETTE,2,BOULANGERIE,01.1.1.3.1,Pain
10156809_01,11/09/2024,16/06/2024,TABLEAU,1,2 BAGUETTE,2,BOULANGERIE,01.1.1.3.1,Pain
10156809_01,11/09/2024,17/06/2024,TABLEAU,1,2 BAGUETTE,2,BOULANGERIE,01.1.1.3.1,Pain
10157108_01,05/08/2024,01/06/2024,TABLEAU,11,2 BAGUETTE,2,BOULANGERIE,01.1.1.3.1,Pain
10158715_01,10/09/2024,23/06/2024,TABLEAU,1,2 BAGUETTE,2,BOULANGERIE,01.1.1.3.1,Pain
10157333_01,22/08/2024,31/05/2024,TABLEAU,1,2 BAGUETTES,2.6,LE MARCHAND VOITURE A PAIN,01.1.1.3.1,Pain
10157333_01,22/08/2024,01/06/2024,TABLEAU,1,2 BAGUETTES,2.6,LE MARCHAND VOITURE A PAIN,01.1.1.3.1,Pain
10157333_01,22/08/2024,03/06/2024,TABLEAU,1,2 BAGUETTES,2.6,LE MARCHAND (VOITURE A PAIN),01.1.1.3.1,Pain
10157333_01,22/08/2024,05/06/2024,TABLEAU,1,2 BAGUETTES,2.6,MARCHAND DE PAIN (VOITURE A PAIN),01.1.1.3.1,Pain
10157451_01,11/09/2024,//,TABLEAU,4,2 BAGUETTES,2.6,BOULANGERIE,01.1.1.3.1,Pain
10157948_01,20/08/2024,17/05/2024,TABLEAU,1,2 BAGUETTES,2.6,BOULANGERIE,01.1.1.3.1,Pain
10158392_01,04/09/2024,06/06/2024,TABLEAU,2,2 BAGUETTES,2.5,POULAILLON,01.1.1.3.1,Pain
10158392_01,04/09/2024,07/06/2024,TABLEAU,1,2 BAGUETTES,2.5,POULAILLON,01.1.1.3.1,Pain
10158392_01,04/09/2024,10/06/2024,TABLEAU,1,2 BAGUETTES,2.5,POULAILLON LECLERC,01.1.1.3.1,Pain
10156549_01,29/08/2024,01/06/2024,TABLEAU,2,2 BAGUETTES,2.4,//,01.1.1.3.1,Pain
10156949_01,04/09/2024,//,TABLEAU,1,2 BAGUETTES,2.4,BOULANGERIE COPPENS TILLE,01.1.1.3.1,Pain
10156991_01,13/08/2024,01/06/2024,TABLEAU,2,2 BAGUETTES,2.4,BOULANGERIE BALAND,01.1.1.3.1,Pain
10157340_01,21/08/2024,25/05/2024,TABLEAU,1,2 BAGUETTES,2.4,VOITURE A PAIN,01.1.1.3.1,Pain
10157340_01,21/08/2024,28/05/2024,TABLEAU,1,2 BAGUETTES,2.4,VOITURE A PAIN,01.1.1.3.1,Pain
10157340_01,21/08/2024,30/05/2024,TABLEAU,1,2 BAGUETTES,2.4,VOITURE A PAIN,01.1.1.3.1,Pain
10157543_01,06/09/2024,//,TABLEAU,1,2 BAGUETTES,2.2,BOULANGERIE,01.1.1.3.1,Pain
10156598_01,30/08/2024,12/06/2024,TABLEAU,1,2 BAGUETTES,2,//,01.1.1.3.1,Pain
10156809_01,11/09/2024,12/06/2024,TABLEAU,1,2 BAGUETTES,2,BOULANGERIE,01.1.1.3.1,Pain
10156979_01,09/10/2024,21/06/2024,TABLEAU,1,2 BAGUETTES,2,BOULANGERIE,01.1.1.3.1,Pain
10157108_01,05/08/2024,06/06/2024,TABLEAU,1,2 BAGUETTES,2,BOULANGERIE,01.1.1.3.1,Pain
10157197_01,05/08/2024,26/05/2024,TABLEAU,1,2 BAGUETTES,2,BOULANGERIE,01.1.1.3.1,Pain
10158830_01,10/09/2024,18/07/2024,TABLEAU,1,2 BAGUETTES,2,BOULANGERIE,01.1.1.3.1,Pain
10158930_01,22/08/2024,02/06/2024,TABLEAU,1,2 BAGUETTES,2,BOULANGERIE,01.1.1.3.1,Pain
10158930_01,22/08/2024,06/06/2024,TABLEAU,1,2 BAGUETTES,2,BOULANGERIE,01.1.1.3.1,Pain
10157565_01,20/08/2024,26/05/2024,TABLEAU,2,2 BAGUETTES - PAIN,2,BOULANGERIE,01.1.1.3.1,Pain
10158732_02,28/08/2024,06/06/2024,TABLEAU,1,2 BAGUETTES (BOULANGERIE),2,BOULANGERIE,01.1.1.3.1,Pain
10157702_01,06/09/2024,20/06/2024,TABLEAU,1,2 BAGUETTES 250G,0.7,LIDL,01.1.1.3.1,Pain
10156869_01,08/10/2024,22/06/2024,TABLEAU,1,2 BAGUETTES CEREALES,2.2,BOULANGERIE LECLERC,01.1.1.3.1,Pain
10156949_01,04/09/2024,//,TABLEAU,1,2 BAGUETTES DOREES,2.4,BOULANGERIE TILLE,01.1.1.3.1,Pain
10157409_01,22/08/2024,18/05/2024,TABLEAU,1,2 BAGUETTES VIENNOISE,4.4,BOULANGERIE LA FEE SYLDA,01.1.1.3.9.2,Viennoiserie
10157847_01,25/07/2024,28/05/2024,TABLEAU,1,2 BOITES SARDINES,5.7,DRIVE CARREFOUR,01.1.3.1.6,"Autres poissons pélagiques, vivants, frais, réfrigérés ou congelés"
10157229_01,05/09/2024,26/06/2024,TABLEAU,2,2 BOUTEILLE DE L'EAU,1.2,ALDI,01.2.5.0.0,Eau
10157685_01,06/09/2024,27/06/2024,TABLEAU,2,2 BOUTEILLES DE GIN,78,ECOLE MFR,01.2.6.0.0,Boissons non alcoolisées
10156503_01,29/08/2024,19/06/2024,TABLEAU,11,2 BOUTEILLES JUS,3.6,//,01.2.1.0.0,Jus de fruits et de légumes
