product;Montant de la dépense;shop_maj;Libellé coicop;Code coicop;code_mag;Nomen_mag
PETITS PAINS GRILLES AU FROMENT CFR 225G 1X2.99€;2.99;EXPRESS MARKET;Autres produits de boulangerie;01.1.1.3.9.4;114;Petite surface d'alimentation générale et produits surgelés (commerce d’alimentation générale, magasin de produits surgelés, épicerie sociale…)
KIRI 6 PORTION 100G;2.3;EXPRESS MARKET;Fromage;01.1.4.5.0;114;Petite surface d'alimentation générale et produits surgelés (commerce d’alimentation générale, magasin de produits surgelés, épicerie sociale…)
DIVERS;1.5;EXPRESS MARKET;ALIMENTATION ET BOISSONS NON ALCOOLISÉES;01;114;Petite surface d'alimentation générale et produits surgelés (commerce d’alimentation générale, magasin de produits surgelés, épicerie sociale…)
125G FLUTE HUIL OLIVE ROMARIN CRF 1X1.99€;1.99;EXPRESS MARKET;Autres produits de boulangerie;01.1.1.3.9.4;114;Petite surface d'alimentation générale et produits surgelés (commerce d’alimentation générale, magasin de produits surgelés, épicerie sociale…)
BANGAI MULTIFRUITS 3X20CL;2.99;EXPRESS MARKET;Jus de fruits et de légumes (ND);01.2.1.0.0;114;Petite surface d'alimentation générale et produits surgelés (commerce d’alimentation générale, magasin de produits surgelés, épicerie sociale…)
BAGUETTE COMPLETE;1.5;PRIMO CASH;Pain;01.1.1.3.1;114;Petite surface d'alimentation générale et produits surgelés (commerce d’alimentation générale, magasin de produits surgelés, épicerie sociale…)
EPI CURRY FORT 45G DUCRO;2.5;PRIMO CASH;Épices, herbes culinaires et graines;01.1.9.4.0;114;Petite surface d'alimentation générale et produits surgelés (commerce d’alimentation générale, magasin de produits surgelés, épicerie sociale…)
CP MOULES DECOQUILLEES S;4.99;PRIMO CASH;Bivalves vivants, frais, réfrigérés ou congelés;01.1.3.4.3;114;Petite surface d'alimentation générale et produits surgelés (commerce d’alimentation générale, magasin de produits surgelés, épicerie sociale…)
AP MELANGE GOURMAND 125G;3.9;PRIMO CASH;Produits alimentaires;01.1;114;Petite surface d'alimentation générale et produits surgelés (commerce d’alimentation générale, magasin de produits surgelés, épicerie sociale…)
SAC DE CAISSE DECAT;1.89;DECATHLON;Autres biens domestiques non durables (ND);05.6.1.9;221;Grande surface spécialisée Loisir, Culture et TIC
TRAINING LADDER MOD;30.99;DECATHLON;Équipement pour le sport (SD);09.2.2.2;221;Grande surface spécialisée Loisir, Culture et TIC
BALANCE SOFT DISC S;24.49;DECATHLON;Équipement pour le sport (SD);09.2.2.3;221;Grande surface spécialisée Loisir, Culture et TIC
JUMP ROPE 100 SANS;6.49;DECATHLON;Équipement pour le sport (SD);09.2.2.4;221;Grande surface spécialisée Loisir, Culture et TIC
HAIE DE VITESSE MO;10.99;DECATHLON;Équipement pour le sport (SD);09.2.2.2;221;Grande surface spécialisée Loisir, Culture et TIC
HAIE DE VITESSE MO;10.99;DECATHLON;Équipement pour le sport (SD);09.2.2.2;221;Grande surface spécialisée Loisir, Culture et TIC
DISQUE PLAT X12 ORA;17.49;DECATHLON;Équipement pour le sport (SD);09.2.2.7;221;Grande surface spécialisée Loisir, Culture et TIC
HAIE DE VITESSE MO;10.99;DECATHLON;Équipement pour le sport (SD);09.2.2.2;221;Grande surface spécialisée Loisir, Culture et TIC
HAIE DE VITESSE MO;10.99;DECATHLON;Équipement pour le sport (SD);09.2.2.2;221;Grande surface spécialisée Loisir, Culture et TIC
TRAINING BAND 15KG;9.99;DECATHLON;Équipement pour le sport (SD);09.2.2.10;221;Grande surface spécialisée Loisir, Culture et TIC
SWISS BALL BASIC MO;24.49;DECATHLON;Équipement pour le sport (SD);09.2.2.11;221;Grande surface spécialisée Loisir, Culture et TIC
TRAINING BAND 55KG;13.49;DECATHLON;Équipement pour le sport (SD);09.2.2.12;221;Grande surface spécialisée Loisir, Culture et TIC
GLUTE BAND MEDIUM S;9.99;DECATHLON;Équipement pour le sport (SD);09.2.2.13;221;Grande surface spécialisée Loisir, Culture et TIC
GLUTE BAND HARD SAN;10.99;DECATHLON;Équipement pour le sport (SD);09.2.2.14;221;Grande surface spécialisée Loisir, Culture et TIC
;60;VITO BELLE ALLEE;Carburants et lubrifiants pour matériel de transport personnel (ND);07.2.2;235;Petite surface spécialisée dans la vente de carburant (station-service)
ILLISIBLE;ILLISIBLE;CARREFOUR;Illisible ou indéterminé;98.4;111;Hypermarchés
;60;STATION ESSO;Illisible ou indéterminé;98.4;235;Petite surface spécialisée dans la vente de carburant (station-service)
ANANAS VICTORIA KG;4.48;CARREFOUR;Ananas, frais;01.1.6.1.7;111;Hypermarchés
ACTIVIA X 4 NATURE;3.2;CARREFOUR;Yaourt et produits similaires;01.1.4.6.0;111;Hypermarchés
MELONS LE KG;2.83;CARREFOUR;Melons et autres courges, frais;01.1.6.5.3;111;Hypermarchés
CHRISTOPHINE LE KG;2.55;CARREFOUR;Citrouilles, courges et potirons, frais ou réfrigérés;01.1.7.2.5;111;Hypermarchés
GINGEMBRE FRAIS;2.18;CARREFOUR;Épices, herbes culinaires et graines;01.1.9.4.0;111;Hypermarchés
1L BOISS AVOIN CACAO;1.86;CARREFOUR;Lait d'avoine;01.1.4.4.5;111;Hypermarchés
;6;PAIN DE DAMENCOURT;Pain et produits de boulangerie (ND);01.1.1.3;121;Boulangerie, pâtisserie, viennoiserie, confiseur, chocolatier
AIL PULPE 1KG;4.99;LEADER PRICE;Ail, frais ou réfrigéré;01.1.7.4.2;113;Magasins maxi-discompte
ECHALOTES FILET 250;1.49;LEADER PRICE;Oignons et échalotes, frais ou réfrigérés;01.1.7.4.3;113;Magasins maxi-discompte
GROINS DE PORC 500G;4.29;LEADER PRICE;Viande, fraîche, réfrigérée ou congelée (ND);01.1.2.2;113;Magasins maxi-discompte
HAUTS DE CUISSE 2.5;7.79;LEADER PRICE;Viande, fraîche, réfrigérée ou congelée (ND);01.1.2.2;113;Magasins maxi-discompte
HUILE EQUILIBRE 4 AL;3.74;LEADER PRICE;Huiles végétales (ND);01.1.5.1;113;Magasins maxi-discompte
PERSILLADE POUR SALA;2.12;LEADER PRICE;Épices, herbes culinaires et graines;01.1.9.4.0;113;Magasins maxi-discompte
SAC CABAS LP;0.75;LEADER PRICE;Autres biens domestiques non durables (ND);05.6.1.9;113;Magasins maxi-discompte
SAUCE CHIEN 30G;1.25;LEADER PRICE;Autres sauces et condiments;01.1.9.3.9;113;Magasins maxi-discompte
SAUCE PIQUANTE ANTIL;2.56;LEADER PRICE;Autres sauces et condiments;01.1.9.3.9;113;Magasins maxi-discompte
PLANCH DECOUP DU80ST 40X21.5CM;15.38;SUPER U;Ustensiles et articles de cuisine (SD);05.4.0.3;112;Supermarchés, magasins multi-commerces
JUS CRAMBERY 6 HAUSER BLE 75CL;4.3;SUPER U;Jus de fruits et de légumes (ND);01.2.1.0.0;112;Supermarchés, magasins multi-commerces
LENTILLES VERTES U BIO 500G;3.51;SUPER U;Lentilles, sèches;01.1.7.6.4;112;Supermarchés, magasins multi-commerces
SOJASUN MYRTILLES 4X100G;2.99;SUPER U;Yaourt et produits similaires;01.1.4.6.0;112;Supermarchés, magasins multi-commerces
OEUFS X6;2.98;SUPER U;Œufs de poule et autres volailles à coque, frais;01.1.4.8.1;112;Supermarchés, magasins multi-commerces
B DE YOPLAIT NATURE 125GRX4;2.72;SUPER U;Yaourt et produits similaires;01.1.4.6.0;112;Supermarchés, magasins multi-commerces
BEUR MOULE DS804 P BRETON 125G;2.29;SUPER U;Beurre;01.1.5.2.1;112;Supermarchés, magasins multi-commerces
CRAMBERRIES;0.240KG X 17.45 à 4.19/KG;SUPER U;Baies fraîches (ND);01.1.6.4;112;Supermarchés, magasins multi-commerces
BANANE STANDARD 0.778KG X 1.19 â‚¬/KG;0.93;SUPER U;Bananes, fraîches;01.1.6.1.2;112;Supermarchés, magasins multi-commerces
EXTRA MOELLEUX 15% 100GRS X4;7.69;SUPER U;Viandes de bovins, fraîches, réfrigérées ou congelées;01.1.2.2.1;112;Supermarchés, magasins multi-commerces
CANTAL AOP JEUNE;2.68;SUPER U;Fromage;01.1.4.5.0;112;Supermarchés, magasins multi-commerces
ACTIVIA BRASSE 16X12;9.39;CARREFOUR;Yaourt et produits similaires;01.1.4.6.0;111;Hypermarchés
2X NECTAR ORANGE/CER 1.19€;2.38;CARREFOUR;Jus de fruits et de légumes (ND);01.2.1.0.0;111;Hypermarchés
VACHE QUI RIT 8P 128;2.19;CARREFOUR;Fromage;01.1.4.5.0;111;Hypermarchés
3X AIGUILETTE DE POULET 3.99€;11.97;CARREFOUR;Viande de volaille fraîche, réfrigérée ou congelée;01.1.2.2.4;111;Hypermarchés
2X BOUQUET A SOUPE 3.99€;7.98;CARREFOUR;Légumes à feuilles ou à tiges, frais ou réfrigérés (ND);01.1.7.1;111;Hypermarchés
2X CHACHA LU 27G 0.65€;1.3;CARREFOUR;Biscuits et gâteaux;01.1.1.3.9.3;111;Hypermarchés
ONE CHAT 1.5KG JUNIO;8.99;CARREFOUR;Produits pour animaux domestiques et autres animaux de compagnie (ND);09.3.2.2;111;Hypermarchés
ONE CHT CABILLAUD TR;8.99;CARREFOUR;Produits pour animaux domestiques et autres animaux de compagnie (ND);09.3.2.2;111;Hypermarchés
BTE SPRITE 33CL;0.85;CARREFOUR;Boissons gazeuses;01.2.6.0.0;111;Hypermarchés
BOBINE ESS T;5.9;CARREFOUR;Autres biens domestiques non durables (ND);05.6.1.9;111;Hypermarchés
SAC CABAS GWADA 40L;1.35;CARREFOUR;Autres biens domestiques non durables (ND);05.6.1.9;111;Hypermarchés
SARDINES DELMONACO;1.09;MAXIMAX;Autres poissons pélagiques, préparés ou conservés;01.1.3.3.2;113;Magasins maxi-discompte
ETUI 400G CROQ CHATON BF;1.7;MAXIMAX;Produits pour animaux domestiques et autres animaux de compagnie (ND);09.3.2.2;113;Magasins maxi-discompte
RITA BOISSON AU JUS COCKTAIL 33CL 1 X 0.99€/UNITE;0.99;MAXIMAX;Jus de fruits et de légumes (ND);01.2.1.0.0;113;Magasins maxi-discompte
BF 3/2 BOUCH CHIEN BOEUF 1.250KG 1 X 3.20€/UNITE;3.2;MAXIMAX;Produits pour animaux domestiques et autres animaux de compagnie (ND);09.3.2.2;113;Magasins maxi-discompte
BOISSON FRAICHE 2 X 0.30€/UNITE;0.6;MAXIMAX;BOISSONS NON ALCOOLISÉES;01.2;113;Magasins maxi-discompte
JEIGO REFRESH 50CL FRUITS ROUG;1.35;MAXIMAX;Jus de fruits et de légumes (ND);01.2.1.0.0;113;Magasins maxi-discompte
LAIT MILA BRIQ 1L 1/2 ECREME;1.5;MAXIMAX;Lait écrémé;01.1.4.2.0;113;Magasins maxi-discompte
SIPA TORSADE 500GR;1.5;MAXIMAX;Macaroni, nouilles, couscous et produits similaires;01.1.1.5.0;113;Magasins maxi-discompte
1X2 MACEDOINE LEGUME BF;1.65;MAXIMAX;Légumes en conserve;01.1.7.9.2;113;Magasins maxi-discompte
VERRE 450CC CRISTALWAY 2 X 1.80€/UNITE;3.6;MAXIMAX;Verrerie, cristallerie, céramique et porcelaine (SD);05.4.0.1;113;Magasins maxi-discompte
SAUCISSES DE STRASBOURG 350G X 10 S PROMO 1 X 2.45€/UNITE;2.45;MAXIMAX;Saucisses et produits similaires de viande, abats ou sang;01.1.2.5.9;113;Magasins maxi-discompte
HAIR FOOD KARITE 200 1 X 8.15;8.15;CARREFOUR;Shampooings et produits capillaires divers;13.1.2.0.4;111;Hypermarchés
PRESSE AGRUME ALU 1 X 8.75;8.75;CARREFOUR;Ustensiles et articles de cuisine (SD);05.4.0.3;111;Hypermarchés
RIDEAUX UNIE POLYEST 6 X 7.90;47.4;CARREFOUR;Tissus d'ameublement et rideaux (SD);05.2.1.1;111;Hypermarchés
AILERONS DE DINDE 5K;14.95;LEADER PRICE;Viande de volaille fraîche, réfrigérée ou congelée;01.1.2.2.4;113;Magasins maxi-discompte
ANANAS LOCAL 1.270 KG X 3.99€/KG;5.07;LEADER PRICE;Ananas, frais;01.1.6.1.7;113;Magasins maxi-discompte
CHORIZO DOUX 225G L;3.45;LEADER PRICE;Saucisses et produits similaires à base de viande, d'abats ou de sang;01.1.2.5.1;113;Magasins maxi-discompte
POIVRON ROUGE 0.220 KG X 5.99€/KG;1.32;LEADER PRICE;Piments et poivrons, frais ou réfrigérés;01.1.7.2.1;113;Magasins maxi-discompte
POIVRON VERT 0.176 KG X 5.99€/KG;1.05;LEADER PRICE;Piments et poivrons, frais ou réfrigérés;01.1.7.2.1;113;Magasins maxi-discompte
RAISIN RED GLOBE 0.834 KG X 5.99€/KG;5;LEADER PRICE;Raisins, frais;01.1.6.5.1;113;Magasins maxi-discompte
4X SAUCE PIZZA ORIGAN 3 1.80€;7.2;LEADER PRICE;Autres sauces et condiments;01.1.9.3.9;113;Magasins maxi-discompte
NUGGET 4;3.2;MC DONALD'S;Restaurants, cafés et autres – à service limité (S);11.1.1.2;412;Restauration rapide, ventes à emporter (yc ventes par camion) (pizza, glace)
PETIT FRITE;2.5;MC DONALD'S;Restaurants, cafés et autres – à service limité (S);11.1.1.2;412;Restauration rapide, ventes à emporter (yc ventes par camion) (pizza, glace)
HAMB;2.55;MC DONALD'S;Restaurants, cafés et autres – à service limité (S);11.1.1.2;412;Restauration rapide, ventes à emporter (yc ventes par camion) (pizza, glace)
BO FAMILY BOX;30;MC DONALD'S;Restaurants, cafés et autres – à service limité (S);11.1.1.2;412;Restauration rapide, ventes à emporter (yc ventes par camion) (pizza, glace)
2 CHEESE;2.9;MC DONALD'S;Restaurants, cafés et autres – à service limité (S);11.1.1.2;412;Restauration rapide, ventes à emporter (yc ventes par camion) (pizza, glace)
FLEUR DOUCHE POE D12;1;GIFI;Autres appareils, articles et produits pour soins corporels n.c.a.;13.1.2.0.6;212;Petite surface non spécialisée (bazar…)
FLEUR DOUCHE POE D12;1;GIFI;Autres appareils, articles et produits pour soins corporels n.c.a.;13.1.2.0.6;212;Petite surface non spécialisée (bazar…)
FLEUR DOUCHE POE D12;1;GIFI;Autres appareils, articles et produits pour soins corporels n.c.a.;13.1.2.0.6;212;Petite surface non spécialisée (bazar…)
BTE RANGEMENT A/COUV 80L THAIS;24.99;GIFI;Ustensiles et articles de cuisine (SD);05.4.0.3;212;Petite surface non spécialisée (bazar…)
BTE RANGEMENT A/COUV 80L THAIS;24.99;GIFI;Ustensiles et articles de cuisine (SD);05.4.0.3;212;Petite surface non spécialisée (bazar…)
2X POTAGE POULE VERMIC 0.71â‚¬;1.42;LEADER PRICE;Soupes prêtes à l'emploi;01.1.9.1.6;113;Magasins maxi-discompte
AIL 0.404KG X 7.69â‚¬/KG;3.11;LEADER PRICE;Ail, frais ou réfrigéré;01.1.7.4.2;113;Magasins maxi-discompte
CASSOULET 840G LP;2.88;LEADER PRICE;Autres plats cuisinés et repas préparés nca;01.1.9.1.9;113;Magasins maxi-discompte
CHEVEUX ANGE 500G LP;1.45;LEADER PRICE;Macaroni, nouilles, couscous et produits similaires;01.1.1.5.0;113;Magasins maxi-discompte
COQUILLETTES 500G LP;1.49;LEADER PRICE;Macaroni, nouilles, couscous et produits similaires;01.1.1.5.0;113;Magasins maxi-discompte
DBLE CONC TOMATE TUB;1.49;LEADER PRICE;Autres sauces et condiments;01.1.9.3.9;113;Magasins maxi-discompte
DESOD DESTRU ODEUR 3;1.99;LEADER PRICE;Produits de nettoyage et d'entretien ménagers (ND);05.6.1.1;113;Magasins maxi-discompte
EMMENTAL RAPE 200G L;2.79;LEADER PRICE;Fromage;01.1.4.5.0;113;Magasins maxi-discompte
FARFALLE 500G LP;1.59;LEADER PRICE;Macaroni, nouilles, couscous et produits similaires;01.1.1.5.0;113;Magasins maxi-discompte
FLOCON D'AVOINE 500G;1.99;LEADER PRICE;Céréales du petit-déjeuner;01.1.1.4.0;113;Magasins maxi-discompte
FROMA FONDU X24 20%M;3.49;LEADER PRICE;Fromage;01.1.4.5.0;113;Magasins maxi-discompte
LAIT CORPOREL HYDRA;3.85;LEADER PRICE;Produits de maquillage et de soin de la peau;13.1.2.0.2;113;Magasins maxi-discompte
2X MACEDOINE LEGUMES 4/ 1.92â‚¬;3.84;LEADER PRICE;Légumes en conserve;01.1.7.9.2;113;Magasins maxi-discompte
PATES ETOILES 500G;1.39;LEADER PRICE;Macaroni, nouilles, couscous et produits similaires;01.1.1.5.0;113;Magasins maxi-discompte
PUREE POM/PRUN S/SUC;1.98;LEADER PRICE;Autres confitures, gelées de fruits, marmelades, purées et pâtes de fruits;01.1.8.3.9;113;Magasins maxi-discompte
RIZ BASMATI 4 X 125G L;3.09;LEADER PRICE;Riz;01.1.1.1.2;113;Magasins maxi-discompte
2X SAUCE TOTAME 2X1/4 3 1.99;3.98;LEADER PRICE;Autres sauces et condiments;01.1.9.3.9;113;Magasins maxi-discompte
SAUCISSES STRASBOURG;4.49;LEADER PRICE;Saucisses et produits similaires de viande, abats ou sang;01.1.2.5.1;113;Magasins maxi-discompte
SAUCISSON FLUTE 250G;5.85;LEADER PRICE;Saucisses et produits similaires à base de viande, d'abats ou de sang;01.1.2.5.1;113;Magasins maxi-discompte
SIROP DE GRENADINE 7;2.87;LEADER PRICE;Autres boissons non alcoolisées;01.2.9.0.0;113;Magasins maxi-discompte
STEAK HACHE 20% MG 1;10.95;LEADER PRICE;Viande de bovins fraîche réfrigérée ou congelée;01.1.2.2.1;113;Magasins maxi-discompte
YAOURT ARO FRAI/FRAM;5.99;LEADER PRICE;Yaourt et produits similaires;01.1.4.6.0;113;Magasins maxi-discompte
BANGA COCKTAIL MULTI 2 L;2.98;8 A HUIT;Jus de fruits et de légumes (ND);01.2.1.0.0;114;Petite surface d'alimentation générale et produits surgelés (commerce d’alimentation générale, magasin de produits surgelés, épicerie sociale…)
SAUCE TOMATE ZAPETTI P/2 2 X 1.99â‚¬/UNITE;3.3;8 A HUIT;Autres sauces et condiments;01.1.9.3.9;114;Petite surface d'alimentation générale et produits surgelés (commerce d’alimentation générale, magasin de produits surgelés, épicerie sociale…)
SPAGHETTI VALDIGRANO 500G 2 X 1.65â‚¬/UNITE;3.3;8 A HUIT;Macaroni, nouilles, couscous et produits similaires;01.1.1.5.0;114;Petite surface d'alimentation générale et produits surgelés (commerce d’alimentation générale, magasin de produits surgelés, épicerie sociale…)
KOLA CHAMP. SOLO 33CL;1.35;8 A HUIT;Boissons gazeuses;01.2.6.0.0;114;Petite surface d'alimentation générale et produits surgelés (commerce d’alimentation générale, magasin de produits surgelés, épicerie sociale…)
SUPPLEMENTS FRAIS;0.29;8 A HUIT;Illisible ou indéterminé;98.4;114;Petite surface d'alimentation générale et produits surgelés (commerce d’alimentation générale, magasin de produits surgelés, épicerie sociale…)
RIZ BASMATI CFR 500G;2.9;8 A HUIT;Riz;01.1.1.1.2;114;Petite surface d'alimentation générale et produits surgelés (commerce d’alimentation générale, magasin de produits surgelés, épicerie sociale…)
EAU GAZ. VICHY CELESTINS 1.15L;1.1;SUPER U;Eau;01.2.5.0.0;112;Supermarchés, magasins multi-commerces
EAU DE JAVEL 2 LITR;2.63;LEADER PRICE;Produits de nettoyage et d'entretien ménagers (ND);05.6.1.1;113;Magasins maxi-discompte
COQUILLETTES 500G LP;1.49;LEADER PRICE;Macaroni, nouilles, couscous et produits similaires;01.1.1.5.0;113;Magasins maxi-discompte
10X EAU DU MASSIF DE DOL 1.44â‚¬;14.4;LEADER PRICE;Eau;01.2.5.0.0;113;Magasins maxi-discompte
2X EPONGE GRATTANTE SUR 1.49â‚¬;2.98;LEADER PRICE;Produits de nettoyage et d'entretien ménagers (ND);05.6.1.1;113;Magasins maxi-discompte
FARFALLE 500G LP;1.59;LEADER PRICE;Macaroni, nouilles, couscous et produits similaires;01.1.1.5.0;113;Magasins maxi-discompte
FARINE DE BOULANGER;1.42;LEADER PRICE;Farine de céréales (ND);01.1.1.2;113;Magasins maxi-discompte
FLOCON D'AVOINE 500G;1.99;LEADER PRICE;Céréales du petit-déjeuner;01.1.1.4.0;113;Magasins maxi-discompte
GAUFRETTES FRAMBOISE;2.59;LEADER PRICE;Biscuits et gâteaux;01.1.1.3.9.3;113;Magasins maxi-discompte
OIGNON 0.778 KG X 1.99â‚¬/KG;1.55;LEADER PRICE;Oignons et échalotes, frais ou réfrigérés;01.1.7.4.3;113;Magasins maxi-discompte
PAPIER TOILETTE COMP;3.3;LEADER PRICE;Articles d’hygiène à base de papier ou de coton;13.1.2.0.5;113;Magasins maxi-discompte
RIZ BASMATI 4 X 125G L;3.09;LEADER PRICE;Riz;01.1.1.1.2;113;Magasins maxi-discompte
2X SAUCE TOTAME 2X1/4 3 1.99;3.98;LEADER PRICE;Autres sauces et condiments;01.1.9.3.9;113;Magasins maxi-discompte
SIROP DE GRENADINE 7;2.87;LEADER PRICE;Autres boissons non alcoolisées;01.2.9.0.0;113;Magasins maxi-discompte
3X MADELEINE LGUE OEUF 3.99â‚¬;11.97;CARREFOUR;Biscuits et gâteaux;01.1.1.3.9.3;111;Hypermarchés
EMPORTER;0;CC MILE MIS;Restaurants, cafés et autres – à service limité (S);11.1.1.2;412;Restauration rapide, ventes à emporter (yc ventes par camion) (pizza, glace)
LARGE;9.95;CC MILENIS;Restaurants, cafés et autres – à service limité (S);11.1.1.2;412;Restauration rapide, ventes à emporter (yc ventes par camion) (pizza, glace)
CHEDDAR;1;CC MILENIS;Restaurants, cafés et autres – à service limité (S);11.1.1.2;412;Restauration rapide, ventes à emporter (yc ventes par camion) (pizza, glace)
OIGNONS FRITS;1;CC MILENIS;Restaurants, cafés et autres – à service limité (S);11.1.1.2;412;Restauration rapide, ventes à emporter (yc ventes par camion) (pizza, glace)
FANTA ORANGE 33CL;1;CC MILENIS;Restaurants, cafés et autres – à service limité (S);11.1.1.2;412;Restauration rapide, ventes à emporter (yc ventes par camion) (pizza, glace)
2 ARTICLE 2â‚¬;4;BARADA;Vêtements;03.1.2;233;Petite surface spécialisée dans l’équipement de la personne
4 ARTICLE 25â‚¬;100;BARADA;Vêtements;03.1.2;233;Petite surface spécialisée dans l’équipement de la personne
2 ARTICLE 8â‚¬;16;BARADA;Vêtements;03.1.2;233;Petite surface spécialisée dans l’équipement de la personne
1 ARTICLE 10â‚¬;10;BARADA;Vêtements;03.1.2;233;Petite surface spécialisée dans l’équipement de la personne
60X EAU DU MASSIF DE DOL 0.37â‚¬;22.2;LEADER PRICE;Eau;01.2.5.0.0;113;Magasins maxi-discompte
ODYSSE MSC TUP CROC X15 4;4.43;//;Préparations de poisson (ND);01.1.3.3;112;Supermarchés, magasins multi-commerces
PILONS DE POULET 1KG;3.59;//;Viande de volaille fraîche, réfrigérée ou congelée;01.1.2.2.4;112;Supermarchés, magasins multi-commerces
SAMOUSSAS BOEUF 650GR 20;12.85;//;Plats précuits à base de pâtes et de céréales;01.1.9.1.1;112;Supermarchés, magasins multi-commerces
AIGUILLETTE DE POULET 600;3.85;//;Viande de volaille fraîche, réfrigérée ou congelée;01.1.2.2.4;112;Supermarchés, magasins multi-commerces
COTES DE PORC 1KG A SEC;5.65;//;Viande de porc, fraîche, réfrigérée ou congelée;01.1.2.2.2;112;Supermarchés, magasins multi-commerces
NEMS POULET (20PCS) SHT 8;11.69;//;Plats précuits à base de pâtes et de céréales;01.1.9.1.1;112;Supermarchés, magasins multi-commerces
LEGUMES CHOP SUEY 1KG LP;2.79;//;Légumes, tubercules, plantains, bananes à cuire et légumineuses (ND);01.1.7;112;Supermarchés, magasins multi-commerces
SNACKS FANTOMES SALES 80G;1.28;//;Autres céréales et produits de minoterie;01.1.1.9.0;112;Supermarchés, magasins multi-commerces
SARDINES H. TOURNESOL 3X69;2.59;//;Autres poissons pélagiques, préparés ou conservés;01.1.3.3.2;112;Supermarchés, magasins multi-commerces
COMPOTE POM. FRAUSE 4X100;1.15;//;Autres confitures, gelées de fruits, marmelades, purées et pâtes de fruits;01.1.8.3.9;112;Supermarchés, magasins multi-commerces
BO CHIPS PAYSAN 150G;1.54;//;Chips;01.1.7.9.4.2;112;Supermarchés, magasins multi-commerces
GAUFRETTE NOISET 225G BAL;2.29;//;Biscuits et gâteaux;01.1.1.3.9.3;112;Supermarchés, magasins multi-commerces
ST ELOI TOMATE PELEE 1/2;1.05;//;Légumes en conserve;01.1.7.9.2;112;Supermarchés, magasins multi-commerces
