code;frequency;product;coicop
01.1.1.3.1;1;Pain graines;Pain
01.1.1.3.1;1;Pain grec;Pain
01.1.1.3.1;3;Pain gris;Pain
01.1.1.3.1;1;Pain gruau;Pain
01.1.1.3.1;6;Pain italien;Pain
01.1.1.3.1;1;Pain kebab;Pain
01.1.1.3.1;1;Pain libanais;Pain
01.1.1.3.1;1;Pain lin;Pain
01.1.1.3.1;37;Pain maïs;Pain
01.1.1.3.1;1;Pain marguerite;Pain
01.1.1.3.1;1;Pain massif;Pain
01.1.1.3.1;14;Pain natte;Pain
01.1.1.3.1;2;Pain natte;Pain
01.1.1.3.1;14;Pain natté;Pain
01.1.1.3.1;2;Pain natté;Pain
01.1.1.3.1;1;Pain noir;Pain
01.1.1.3.1;25;Pain noix;Pain
01.1.1.3.1;1;Pain nordique;Pain
01.1.1.3.1;3;Pain olives;Pain
01.1.1.3.1;5;Pain oriental;Pain
01.1.1.3.1;3;Pain paillasse;Pain
01.1.1.3.1;13;Pain panini;Pain
01.1.1.3.1;1;Pain panini;Pain
01.1.1.3.1;5;Pain pavot;Pain
01.1.1.3.1;1;Pain pavot;Pain
01.1.1.3.1;9;Pain paysan;Pain
01.1.1.3.1;3;Pain pita;Pain
01.1.1.3.1;1;Pain pita;Pain
01.1.1.3.1;26;Pain platine;Pain
01.1.1.3.1;1;Pain plie;Pain
01.1.1.3.1;24;Pain polka;Pain
01.1.1.3.1;22;Pain précuit;Pain
01.1.1.3.1;8;Pain préparé;Pain
01.1.1.3.1;1;Pain régime;Pain
01.1.1.3.1;2;Pain restaurant;Pain
01.1.1.3.1;30;Pain rustique;Pain
01.1.1.3.1;32;Pain sandwich;Pain
01.1.1.3.1;9;Pain sans gluten;Pain
01.1.1.3.1;3;Pain sans sel;Pain
01.1.1.3.1;2;Pain sarrasin;Pain
01.1.1.3.1;1;Pain saveur;Pain
01.1.1.3.1;1;Pain savoyard;Pain
01.1.1.3.1;44;Pain seigle;Pain
01.1.1.3.1;7;Pain sésame;Pain
01.1.1.3.1;1;Pain sésame;Pain
01.1.1.3.1;4;Pain son;Pain
01.1.1.3.1;128;Pain spécial;Pain
01.1.1.3.1;1;Pain spécial;Pain
01.1.1.3.1;12;Pain surgelé;Pain
01.1.1.3.1;1;Pain tartine;Pain
01.1.1.3.1;1;Pain torsadé;Pain
01.1.1.3.1;2;Pain tournesol;Pain
01.1.1.3.1;4;Pain tressé;Pain
01.1.1.3.1;2;Pain turc;Pain
01.1.1.3.1;2;Pain viking;Pain
01.1.1.3.1;3;Pains viennois;Pain
01.1.1.3.1;5;Pâte à pain;Pain
01.1.1.3.1;1;Pavé aux céréales;Pain
01.1.1.3.1;4;Pavé aux graines;Pain
01.1.1.3.1;11;Pavé bio;Pain
01.1.1.3.1;5;Pavé céréales;Pain
01.1.1.3.1;1;Pavé épeautre;Pain
01.1.1.3.1;1;Pavé levain;Pain
01.1.1.3.1;3;Pavé meunier;Pain
01.1.1.3.1;1;Pavé noix;Pain
01.1.1.3.1;26;Pavé rustique;Pain
01.1.1.3.1;1;Pavé sésame;Pain
01.1.1.3.1;1;Pavé tradition;Pain
01.1.1.3.1;2;Petit pain;Pain
01.1.1.3.1;1;Pistolet pain;Pain
01.1.1.3.1;5;Pita;Pain
01.1.1.3.1;2;Soufflés sales;Pain
01.1.1.3.1;1;Stick alsace;Pain
01.1.1.3.1;1;Tarallini;Pain
01.1.1.3.1;61;Toast;Pain
01.1.1.3.1;14;Tortillas;Pain
01.1.1.3.1;2;Tuc lu;Pain
01.1.1.3.1;2;Tuc salés;Pain
01.1.1.3.1;2;Tuile apéritif;Pain
01.1.1.3.1;47;Tuiles salées;Pain
01.1.1.3.1;43;Wasa;Pain
01.1.1.3.2;4;Assortiment pâtisserie;Pâtisseries
01.1.1.3.2;32;Baba au rhum;Pâtisseries
01.1.1.3.2;7;Bûche glacée;Pâtisseries
01.1.1.3.2;2;Bûche noël;Pâtisseries
01.1.1.3.2;3;Bûche pâtissière;Pâtisseries
01.1.1.3.2;6;Cannelés;Pâtisseries
01.1.1.3.2;4;Choux crème;Pâtisseries
01.1.1.3.2;1;Choux pâtissier;Pâtisseries
01.1.1.3.2;3;Clafoutis;Pâtisseries
01.1.1.3.2;1;Clafoutis poires;Pâtisseries
01.1.1.3.2;8;Crumble;Pâtisseries
01.1.1.3.2;72;Éclair;Pâtisseries
01.1.1.3.2;1;Éclair à la vanille;Pâtisseries
01.1.1.3.2;1;Éclair au café;Pâtisseries
01.1.1.3.2;7;Éclair au chocolat;Pâtisseries
01.1.1.3.2;17;Flan pâtissier;Pâtisseries
01.1.1.3.2;16;Forêt noire;Pâtisseries
01.1.1.3.2;15;Fraisier;Pâtisseries
01.1.1.3.2;4;Framboisier;Pâtisseries
01.1.1.3.2;106;Galette des rois;Pâtisseries
01.1.1.3.2;1;Galette frangipane;Pâtisseries
01.1.1.3.2;3;Macaron;Pâtisseries
01.1.1.3.2;28;Mille-feuille;Pâtisseries
01.1.1.3.2;1;Paris brest;Pâtisseries
01.1.1.3.2;2;Pâtisserie congelé;Pâtisseries
01.1.1.3.2;64;Pâtisserie fraîche;Pâtisseries
01.1.1.3.2;4;Pâtisserie surgelée;Pâtisseries
01.1.1.3.2;24;Profiteroles;Pâtisseries
01.1.1.3.2;15;Pudding;Pâtisseries
01.1.1.3.2;1;Religieuse gâteau;Pâtisseries
01.1.1.3.2;4;Tarte;Pâtisseries
01.1.1.3.2;2;Tarte aux fraises;Pâtisseries
01.1.1.3.2;18;Tarte aux pommes;Pâtisseries
01.1.1.3.2;5;Tarte chocolat;Pâtisseries
01.1.1.3.2;1;Tarte congelée;Pâtisseries
01.1.1.3.2;1;Tarte fruits;Pâtisseries
01.1.1.3.2;7;Tarte surgelée;Pâtisseries
01.1.1.3.2;97;Tartelette;Pâtisseries
01.1.1.3.2;114;Tiramisu;Pâtisseries
01.1.1.3.3;2;Assortiment viennoiserie;Viennoiseries
01.1.1.3.3;100;Baguettes viennoiseries ;Viennoiseries
01.1.1.3.3;79;Beignet;Viennoiseries
01.1.1.3.3;1;Beignet au chocolat;Viennoiseries
01.1.1.3.3;1;Beignet aux pommes;Viennoiseries
01.1.1.3.3;2;Brioche au sucre;Viennoiseries
01.1.1.3.3;64;Chocolatine;Viennoiseries
01.1.1.3.3;24;Chouquette;Viennoiseries
01.1.1.3.3;726;Croissant;Viennoiseries
01.1.1.3.3;10;Croissant surgelé;Viennoiseries
01.1.1.3.3;56;Donut;Viennoiseries
01.1.1.3.3;3;Feuilleté abricots;Viennoiseries
01.1.1.3.3;2;Feuilleté au chocolat;Viennoiseries
01.1.1.3.3;1;Feuilleté aux pommes;Viennoiseries
01.1.1.3.3;1;Gâche vendéenne;Viennoiseries
01.1.1.3.3;4;Pain au chocolat;Viennoiseries
01.1.1.3.3;232;Pain au lait;Viennoiseries
01.1.1.3.3;10;Pain aux raisins;Viennoiseries
01.1.1.3.3;19;Pain viennois;Viennoiseries
01.1.1.3.3;4;Pain viennoiserie;Viennoiseries
01.1.1.3.3;1;Suisse au chocolat;Viennoiseries
01.1.1.3.3;560;Viennoiserie;Viennoiseries
01.1.1.3.3;1;Viennoiserie au chocolat;Viennoiseries
01.1.1.3.3;1;Viennoiserie congelée;Viennoiseries
01.1.1.3.3;1;Viennoiserie fraîche;Viennoiseries
01.1.1.3.4;1;Amandine;Biscuits et gâteaux
01.1.1.3.4;1;Assortiment biscuits;Biscuits et gâteaux
01.1.1.3.4;1;Barquette biscuit;Biscuits et gâteaux
01.1.1.3.4;19;Barquette lu;Biscuits et gâteaux
01.1.1.3.4;12;Barre de céréales;Biscuits et gâteaux
01.1.1.3.4;5;Barre énergétique;Biscuits et gâteaux
01.1.1.3.4;22;Barre pâtissière;Biscuits et gâteaux
01.1.1.3.4;3;Bastogne lu;Biscuits et gâteaux
01.1.1.3.4;1;Bâtonnet chocolat au lait;Biscuits et gâteaux
01.1.1.3.4;2;Bâtonnets chocolatés;Biscuits et gâteaux
01.1.1.3.4;4;Belvita;Biscuits et gâteaux
01.1.1.3.4;2;Beurre nantais;Biscuits et gâteaux
01.1.1.3.4;8;Biscuit bio;Biscuits et gâteaux
01.1.1.3.4;2;Biscuit bjorg;Biscuits et gâteaux
01.1.1.3.4;5;Biscuit bn;Biscuits et gâteaux
01.1.1.3.4;6;Biscuit céréales;Biscuits et gâteaux
01.1.1.3.4;64;Biscuit chocolat;Biscuits et gâteaux
01.1.1.3.4;2;Biscuit déjeuner;Biscuits et gâteaux
01.1.1.3.4;3;Biscuit diététique;Biscuits et gâteaux
01.1.1.3.4;2;Biscuit en vrac;Biscuits et gâteaux
01.1.1.3.4;2;Biscuit épeautre;Biscuits et gâteaux
01.1.1.3.4;1;Biscuit feuilletés;Biscuits et gâteaux
01.1.1.3.4;1;Biscuit figues;Biscuits et gâteaux
01.1.1.3.4;10;Biscuit fraise;Biscuits et gâteaux
01.1.1.3.4;16;Biscuit gerblé;Biscuits et gâteaux
01.1.1.3.4;1;Biscuit goûter;Biscuits et gâteaux
01.1.1.3.4;1;Biscuit granola;Biscuits et gâteaux
01.1.1.3.4;6;Biscuit oreo;Biscuits et gâteaux
01.1.1.3.4;9;Biscuit petit-déjeuner;Biscuits et gâteaux
01.1.1.3.4;93;Biscuit secs;Biscuits et gâteaux
01.1.1.3.4;3;Biscuit speculos;Biscuits et gâteaux
01.1.1.3.4;134;Bn;Biscuits et gâteaux
01.1.1.3.4;19;Boudoir;Biscuits et gâteaux
01.1.1.3.4;101;Brownie;Biscuits et gâteaux
01.1.1.3.4;3;Brownie chocolat;Biscuits et gâteaux
01.1.1.3.4;20;Cake;Biscuits et gâteaux
01.1.1.3.4;1;Cake au chocolat;Biscuits et gâteaux
01.1.1.3.4;32;Cake aux fruits;Biscuits et gâteaux
01.1.1.3.4;1;Chausson aux pommes;Biscuits et gâteaux
01.1.1.3.4;8;Churros;Biscuits et gâteaux
01.1.1.3.4;1;Cigarettes gâteau;Biscuits et gâteaux
01.1.1.3.4;85;Cookies;Biscuits et gâteaux
01.1.1.3.4;1;Croquant chocolat;Biscuits et gâteaux
01.1.1.3.4;1;Cupcake;Biscuits et gâteaux
01.1.1.3.4;1;Délice choco;Biscuits et gâteaux
01.1.1.3.4;1;Figolu lu;Biscuits et gâteaux
01.1.1.3.4;100;Financiers;Biscuits et gâteaux
01.1.1.3.4;2;Fondant au chocolat;Biscuits et gâteaux
01.1.1.3.4;2;Fondant caramel;Biscuits et gâteaux
01.1.1.3.4;9;Fourré fraise;Biscuits et gâteaux
01.1.1.3.4;1;Galette biscuit;Biscuits et gâteaux
01.1.1.3.4;180;Gâteau;Biscuits et gâteaux
01.1.1.3.4;1;Gâteau à la fraise;Biscuits et gâteaux
01.1.1.3.4;42;Gâteau chocolat;Biscuits et gâteaux
01.1.1.3.4;1;Gâteau congelé;Biscuits et gâteaux
01.1.1.3.4;44;Gâteau de riz;Biscuits et gâteaux
01.1.1.3.4;4;Gâteau de semoule;Biscuits et gâteaux
01.1.1.3.4;23;Gâteau frais;Biscuits et gâteaux
01.1.1.3.4;20;Gâteau surgelé;Biscuits et gâteaux
01.1.1.3.4;75;Gaufre;Biscuits et gâteaux
01.1.1.3.4;22;Gaufrette;Biscuits et gâteaux
01.1.1.3.4;1;Gaufrettes biscuits;Biscuits et gâteaux
01.1.1.3.4;68;Génoise;Biscuits et gâteaux
01.1.1.3.4;9;Gerlinea;Biscuits et gâteaux
01.1.1.3.4;209;Granola;Biscuits et gâteaux
01.1.1.3.4;1;Grany barre;Biscuits et gâteaux
01.1.1.3.4;24;Langue de chat;Biscuits et gâteaux
01.1.1.3.4;344;Madeleine;Biscuits et gâteaux
01.1.1.3.4;1;Magdalena;Biscuits et gâteaux
01.1.1.3.4;22;Marbré;Biscuits et gâteaux
01.1.1.3.4;2;Mc-Vitie's;Biscuits et gâteaux
01.1.1.3.4;19;Meringue;Biscuits et gâteaux
01.1.1.3.4;2;Mikados;Biscuits et gâteaux
01.1.1.3.4;7;Moelleux au chocolat;Biscuits et gâteaux
01.1.1.3.4;40;Muffin;Biscuits et gâteaux
01.1.1.3.4;124;Oreo;Biscuits et gâteaux
01.1.1.3.4;2;Pain d'épice;Biscuits et gâteaux
01.1.1.3.4;1;Palet biscuit;Biscuits et gâteaux
01.1.1.3.4;2;Palmier biscuit;Biscuits et gâteaux
01.1.1.3.4;41;Palmito;Biscuits et gâteaux
01.1.1.3.4;100;Paquet de twins;Biscuits et gâteaux
01.1.1.3.4;108;Pepito;Biscuits et gâteaux
01.1.1.3.4;255;Petit beurre;Biscuits et gâteaux
01.1.1.3.4;1;Quatre-quart;Biscuits et gâteaux
01.1.1.3.4;65;Sablé;Biscuits et gâteaux
01.1.1.3.4;2;Scone;Biscuits et gâteaux
01.1.1.3.4;103;Speculos;Biscuits et gâteaux
01.1.1.3.4;3;Sprit;Biscuits et gâteaux
01.1.1.3.4;2;St-Michel galette;Biscuits et gâteaux
01.1.1.3.4;1;Sweet roll;Biscuits et gâteaux
01.1.1.3.4;1;Tuile biscuit;Biscuits et gâteaux
01.1.1.3.9;1;Biscotte bio;Autres produits de boulangerie
01.1.1.3.9;83;Chapelure;Autres produits de boulangerie
01.1.1.3.9;1;Cracotte;Autres produits de boulangerie
01.1.1.3.9;52;Croûton;Autres produits de boulangerie
01.1.1.3.9;9;Fond de tarte;Autres produits de boulangerie
01.1.1.3.9;10;Pâte à gâteau;Autres produits de boulangerie
01.1.1.3.9;1;Pâte à pâtisserie;Autres produits de boulangerie
01.1.1.3.9;61;Pâte brisée;Autres produits de boulangerie
01.1.1.3.9;30;Tartines;Autres produits de boulangerie
01.1.1.4.1;20;Céréales petit déj;Céréales pour petit-déjeuner
01.1.1.4.1;74;Chocapic;Céréales pour petit-déjeuner
01.1.1.4.1;4;Flocons d'avoine;Céréales pour petit-déjeuner
01.1.1.4.1;1;Kellogs corn flakes;Céréales pour petit-déjeuner
01.1.1.4.1;18;Miel pops;Céréales pour petit-déjeuner
01.1.1.4.1;269;Muesli;Céréales pour petit-déjeuner
01.1.1.5.1;39;Capellini;Macaronis, nouilles, couscous et pâtes alimentaires similaires
01.1.1.5.1;38;Cheveux d’ange;Macaronis, nouilles, couscous et pâtes alimentaires similaires
01.1.1.5.1;391;Coquillettes;Macaronis, nouilles, couscous et pâtes alimentaires similaires
01.1.1.5.1;4;Couscous semoule;Macaronis, nouilles, couscous et pâtes alimentaires similaires
01.1.1.5.1;189;Farfalle;Macaronis, nouilles, couscous et pâtes alimentaires similaires
01.1.1.5.1;245;Gnocchi;Macaronis, nouilles, couscous et pâtes alimentaires similaires
01.1.1.5.1;2;Linguines;Macaronis, nouilles, couscous et pâtes alimentaires similaires
01.1.1.5.1;292;Macaroni;Macaronis, nouilles, couscous et pâtes alimentaires similaires
01.1.1.5.1;266;Nouilles;Macaronis, nouilles, couscous et pâtes alimentaires similaires
01.1.1.5.1;2;Nouilles fraîches;Macaronis, nouilles, couscous et pâtes alimentaires similaires
01.1.1.5.1;1207;Pâtes;Macaronis, nouilles, couscous et pâtes alimentaires similaires
01.1.1.5.1;5;Pâtes bio;Macaronis, nouilles, couscous et pâtes alimentaires similaires
01.1.1.5.1;77;Pâtes fraîches;Macaronis, nouilles, couscous et pâtes alimentaires similaires
01.1.1.5.1;177;Penne;Macaronis, nouilles, couscous et pâtes alimentaires similaires
01.1.1.5.1;1;Polenta semoule;Macaronis, nouilles, couscous et pâtes alimentaires similaires
01.1.1.5.1;129;Semoule;Macaronis, nouilles, couscous et pâtes alimentaires similaires
01.1.1.5.1;1;Semoule taboulé;Macaronis, nouilles, couscous et pâtes alimentaires similaires
01.1.1.5.1;539;Spaghetti;Macaronis, nouilles, couscous et pâtes alimentaires similaires
01.1.1.5.1;157;Tagliatelles;Macaronis, nouilles, couscous et pâtes alimentaires similaires
01.1.1.5.1;87;Vermicelles;Macaronis, nouilles, couscous et pâtes alimentaires similaires
01.1.1.9.1;5;Aliment diététique;Autres produits à base de céréales et de minoterie
01.1.1.9.1;19;Feuille de brick;Autres produits à base de céréales et de minoterie
01.1.1.9.1;100;Pâte feuilletée ;Autres produits à base de céréales et de minoterie
01.1.1.9.1;83;Pop-corn;Autres produits à base de céréales et de minoterie
01.1.2.1;2;Poussin;Animaux terrestres vivants (ND)
01.1.2.1;1;Volailles;Animaux terrestres vivants (ND)
01.1.2.2;126;Boucherie;Viande fraîche réfrigérée ou congelée
01.1.2.2;1;Boucherie coupe;Viande fraîche réfrigérée ou congelée
01.1.2.2;1;Boucherie frais;Viande fraîche réfrigérée ou congelée
01.1.2.2;13;Escalope;Viande, fraîche, réfrigérée ou congelée (ND)
01.1.2.2;1;Viande halal;Viande fraîche réfrigérée ou congelée
01.1.2.2.1;1;Aiguillette rumsteak;Viande d’animaux bovins, fraîche, réfrigérée ou congelée
01.1.2.2.1;1;Aloyau bœuf;Viande d’animaux bovins, fraîche, réfrigérée ou congelée
01.1.2.2.1;1;Bavette congelée;Viande d’animaux bovins, fraîche, réfrigérée ou congelée
01.1.2.2.1;1;Bavette de bœuf;Viande d’animaux bovins, fraîche, réfrigérée ou congelée
01.1.2.2.1;4;Bavette surgelée;Viande d’animaux bovins, fraîche, réfrigérée ou congelée
01.1.2.2.1;3;Beefsteak;Viande d’animaux bovins, fraîche, réfrigérée ou congelée
01.1.2.2.1;56;Bifteck;Viande d’animaux bovins, fraîche, réfrigérée ou congelée
01.1.2.2.1;1;Bifteck bœuf;Viande d’animaux bovins, fraîche, réfrigérée ou congelée
01.1.2.2.1;24;Bifteck hache;Viande d’animaux bovins, fraîche, réfrigérée ou congelée
01.1.2.2.1;401;Boeuf;Viande d’animaux bovins, fraîche, réfrigérée ou congelée
01.1.2.2.1;6;Bœuf congelé;Viande d’animaux bovins, fraîche, réfrigérée ou congelée
01.1.2.2.1;4;Bœuf cuisiné;Viande d’animaux bovins, fraîche, réfrigérée ou congelée
01.1.2.2.1;2;Bœuf entrecôte;Viande d’animaux bovins, fraîche, réfrigérée ou congelée
01.1.2.2.1;116;Bœuf haché;Viande d’animaux bovins, fraîche, réfrigérée ou congelée
01.1.2.2.1;5;Bœuf haché surgelé;Viande d’animaux bovins, fraîche, réfrigérée ou congelée
01.1.2.2.1;23;Boeuf surgelé;Viande d’animaux bovins, fraîche, réfrigérée ou congelée
01.1.2.2.1;1;Boite de steaks hachés;Viande d’animaux bovins, fraîche, réfrigérée ou congelée
01.1.2.2.1;1;Boulette de bœuf;Viande d’animaux bovins, fraîche, réfrigérée ou congelée
01.1.2.2.1;1;Boulette de bœuf congelée;Viande d’animaux bovins, fraîche, réfrigérée ou congelée
01.1.2.2;1;Brochette de viande;Viande fraîche réfrigérée ou congelée
01.1.2.2.1;39;Charal;Viande d’animaux bovins, fraîche, réfrigérée ou congelée
01.1.2.2.1;4;Collier bœuf;Viande d’animaux bovins, fraîche, réfrigérée ou congelée
01.1.2.2.1;18;Côte de bœuf;Viande d’animaux bovins, fraîche, réfrigérée ou congelée
01.1.2.2.1;128;Entrecôte;Viande d’animaux bovins, fraîche, réfrigérée ou congelée
01.1.2.2.1;4;Entrecôte bœuf;Viande d’animaux bovins, fraîche, réfrigérée ou congelée
01.1.2.2.1;1;Épaule bœuf;Viande d’animaux bovins, fraîche, réfrigérée ou congelée
01.1.2.2.1;35;Escalope de veau;Viande d’animaux bovins, fraîche, réfrigérée ou congelée
01.1.2.2.1;33;Filet de bœuf;Viande d’animaux bovins, fraîche, réfrigérée ou congelée
01.1.2.2;1;Grillade;Viande fraîche réfrigérée ou congelée
01.1.2.2.1;1;Grillade bœuf;Viande d’animaux bovins, fraîche, réfrigérée ou congelée
01.1.2.2;4;Haché;Viande fraîche réfrigérée ou congelée
01.1.2.2;1;Haché congelé;Viande fraîche réfrigérée ou congelée
01.1.2.2;1;Haché viande;Viande fraîche réfrigérée ou congelée
01.1.2.2.1;1;Hachis de bœuf;Viande d’animaux bovins, fraîche, réfrigérée ou congelée
01.1.2.2.1;2;Hampe bœuf;Viande d’animaux bovins, fraîche, réfrigérée ou congelée
01.1.2.2.1;1;Jarret de bœuf;Viande d’animaux bovins, fraîche, réfrigérée ou congelée
01.1.2.2;1;Noix de viande;Viande fraîche réfrigérée ou congelée
01.1.2.2.1;2;Onglet de bœuf;Viande d’animaux bovins, fraîche, réfrigérée ou congelée
01.1.2.2.1;1;Paleron de bœuf;Viande d’animaux bovins, fraîche, réfrigérée ou congelée
01.1.2.2.1;21;Pavé de bœuf;Viande d’animaux bovins, fraîche, réfrigérée ou congelée
01.1.2.2.1;4;Pièce de bœuf;Viande d’animaux bovins, fraîche, réfrigérée ou congelée
01.1.2.2;2;Plateau barbecue;Viande fraîche réfrigérée ou congelée
01.1.2.2;1;Plateau grill;Viande fraîche réfrigérée ou congelée
01.1.2.2.1;4;Poire merlan;Viande d’animaux bovins, fraîche, réfrigérée ou congelée
01.1.2.2.1;3;Poitrine de bœuf;Viande d’animaux bovins, fraîche, réfrigérée ou congelée
01.1.2.2.1;19;Rosbeef;Viande d’animaux bovins, fraîche, réfrigérée ou congelée
01.1.2.2;66;Rôti;Viande fraîche réfrigérée ou congelée
01.1.2.2.1;40;Rôti de boeuf;Viande d’animaux bovins, fraîche, réfrigérée ou congelée
01.1.2.2.1;52;Rumsteak;Viande d’animaux bovins, fraîche, réfrigérée ou congelée
01.1.2.2.1;1;Souris boeuf;Viande d’animaux bovins, fraîche, réfrigérée ou congelée
01.1.2.2;166;Steak;Viande fraîche réfrigérée ou congelée
01.1.2.2.1;2;Steak de bœuf;Viande d’animaux bovins, fraîche, réfrigérée ou congelée
01.1.2.2.1;1;Steak de veau;Viande d’animaux bovins, fraîche, réfrigérée ou congelée
01.1.2.2.1;466;Steak haché;Viande d’animaux bovins, fraîche, réfrigérée ou congelée
01.1.2.2.1;2;Steak haché bœuf;Viande d’animaux bovins, fraîche, réfrigérée ou congelée
01.1.2.2.1;92;Tournedos;Viande d’animaux bovins, fraîche, réfrigérée ou congelée
01.1.2.2.1;1;Tournedos bœuf;Viande d’animaux bovins, fraîche, réfrigérée ou congelée
01.1.2.2;176;Viande;Viande fraîche réfrigérée ou congelée
01.1.2.2;1;Viande à rôtir;Viande fraîche réfrigérée ou congelée
01.1.2.2.1;123;Viande bovine;Viande d’animaux bovins, fraîche, réfrigérée ou congelée
01.1.2.2.1;69;Viande de boeuf;Viande d’animaux bovins, fraîche, réfrigérée ou congelée
01.1.2.2.1;4;Viande de boeuf frais;Viande d’animaux bovins, fraîche, réfrigérée ou congelée
01.1.2.2.1;13;Viande de grison;Viande d’animaux bovins, fraîche, réfrigérée ou congelée
01.1.2.2.1;1;Viande de veau frais;Viande d’animaux bovins, fraîche, réfrigérée ou congelée
01.1.2.2.1;3;Viande fondue;Viande d’animaux bovins, fraîche, réfrigérée ou congelée
