product;code;libelle
Aldi – Riz thaï premium 5 kg;01.1.1.1;Céréales (ND)
Spar – Riz thaï premium 10 kg;01.1.1.1;Céréales (ND)
Carrefour – Riz arborio 5 kg;01.1.1.1;Céréales (ND)
Auchan – Riz arborio 10 kg;01.1.1.1;Céréales (ND)
Leclerc – Riz arborio bio 5 kg;01.1.1.1;Céréales (ND)
Intermarché – Riz arborio bio 10 kg;01.1.1.1;Céréales (ND)
Casino – Riz arborio blanc 5 kg;01.1.1.1;Céréales (ND)
Monoprix – Riz arborio blanc 10 kg;01.1.1.1;Céréales (ND)
Cora – Riz arborio complet 5 kg;01.1.1.1;Céréales (ND)
Lidl – Riz arborio complet 10 kg;01.1.1.1;Céréales (ND)
Aldi – Riz arborio premium 5 kg;01.1.1.1;Céréales (ND)
Spar – Riz arborio premium 10 kg;01.1.1.1;Céréales (ND)
Carrefour – Riz gluant 5 kg;01.1.1.1;Céréales (ND)
Auchan – Riz gluant 10 kg;01.1.1.1;Céréales (ND)
Leclerc – Riz gluant bio 5 kg;01.1.1.1;Céréales (ND)
Intermarché – Riz gluant bio 10 kg;01.1.1.1;Céréales (ND)
Casino – Riz gluant blanc 5 kg;01.1.1.1;Céréales (ND)
Monoprix – Riz gluant blanc 10 kg;01.1.1.1;Céréales (ND)
Cora – Riz gluant noir 5 kg;01.1.1.1;Céréales (ND)
Lidl – Riz gluant noir 10 kg;01.1.1.1;Céréales (ND)
Aldi – Riz gluant rouge 5 kg;01.1.1.1;Céréales (ND)
Spar – Riz gluant rouge 10 kg;01.1.1.1;Céréales (ND)
Carrefour – Blé dur 5 kg;01.1.1.1;Céréales (ND)
Auchan – Blé dur 10 kg;01.1.1.1;Céréales (ND)
Leclerc – Blé dur bio 5 kg;01.1.1.1;Céréales (ND)
Intermarché – Blé dur bio 10 kg;01.1.1.1;Céréales (ND)
Casino – Blé dur complet 5 kg;01.1.1.1;Céréales (ND)
Monoprix – Blé dur complet 10 kg;01.1.1.1;Céréales (ND)
Cora – Blé dur décortiqué 5 kg;01.1.1.1;Céréales (ND)
Lidl – Blé dur décortiqué 10 kg;01.1.1.1;Céréales (ND)
Aldi – Blé dur premium 5 kg;01.1.1.1;Céréales (ND)
Spar – Blé dur premium 10 kg;01.1.1.1;Céréales (ND)
Carrefour – Blé tendre 5 kg;01.1.1.1;Céréales (ND)
Auchan – Blé tendre 10 kg;01.1.1.1;Céréales (ND)
Leclerc – Blé tendre bio 5 kg;01.1.1.1;Céréales (ND)
Intermarché – Blé tendre bio 10 kg;01.1.1.1;Céréales (ND)
Casino – Blé tendre complet 5 kg;01.1.1.1;Céréales (ND)
Monoprix – Blé tendre complet 10 kg;01.1.1.1;Céréales (ND)
Cora – Blé tendre décortiqué 5 kg;01.1.1.1;Céréales (ND)
Lidl – Blé tendre décortiqué 10 kg;01.1.1.1;Céréales (ND)
Aldi – Blé tendre premium 5 kg;01.1.1.1;Céréales (ND)
Spar – Blé tendre premium 10 kg;01.1.1.1;Céréales (ND)
Carrefour – Maïs doux 5 kg;01.1.1.1;Céréales (ND)
Auchan – Maïs doux bio 5 kg;01.1.1.1;Céréales (ND)
Leclerc – Maïs doux 10 kg;01.1.1.1;Céréales (ND)
Intermarché – Maïs doux bio 10 kg;01.1.1.1;Céréales (ND)
Casino – Maïs grain 5 kg;01.1.1.1;Céréales (ND)
Monoprix – Maïs grain bio 5 kg;01.1.1.1;Céréales (ND)
Cora – Maïs grain 10 kg;01.1.1.1;Céréales (ND)
Lidl – Maïs grain bio 10 kg;01.1.1.1;Céréales (ND)
Aldi – Maïs éclaté nature 500 g;01.1.1.1;Céréales (ND)
Spar – Maïs éclaté nature 1 kg;01.1.1.1;Céréales (ND)
Carrefour – Maïs soufflé nature 250 g;01.1.1.1;Céréales (ND)
Auchan – Maïs soufflé nature 500 g;01.1.1.1;Céréales (ND)
Leclerc – Maïs soufflé bio 250 g;01.1.1.1;Céréales (ND)
Intermarché – Maïs soufflé bio 500 g;01.1.1.1;Céréales (ND)
Casino – Maïs grillé nature 250 g;01.1.1.1;Céréales (ND)
Monoprix – Maïs grillé nature 500 g;01.1.1.1;Céréales (ND)
Cora – Maïs grillé bio 250 g;01.1.1.1;Céréales (ND)
Lidl – Maïs grillé bio 500 g;01.1.1.1;Céréales (ND)
Aldi – Maïs décortiqué 1 kg;01.1.1.1;Céréales (ND)
Spar – Maïs décortiqué 2 kg;01.1.1.1;Céréales (ND)
Carrefour – Orge perlé 5 kg;01.1.1.1;Céréales (ND)
Auchan – Orge perlé bio 5 kg;01.1.1.1;Céréales (ND)
Leclerc – Orge perlé 10 kg;01.1.1.1;Céréales (ND)
Intermarché – Orge perlé bio 10 kg;01.1.1.1;Céréales (ND)
Casino – Orge perlée complète 5 kg;01.1.1.1;Céréales (ND)
Monoprix – Orge perlée complète 10 kg;01.1.1.1;Céréales (ND)
Cora – Orge perlée décortiquée 5 kg;01.1.1.1;Céréales (ND)
Lidl – Orge perlée décortiquée 10 kg;01.1.1.1;Céréales (ND)
Aldi – Orge perlée premium 5 kg;01.1.1.1;Céréales (ND)
Spar – Orge perlée premium 10 kg;01.1.1.1;Céréales (ND)
Carrefour – Quinoa blanc 500 g;01.1.1.1;Céréales (ND)
Auchan – Quinoa blanc 1 kg;01.1.1.1;Céréales (ND)
Leclerc – Quinoa blanc bio 500 g;01.1.1.1;Céréales (ND)
Intermarché – Quinoa blanc bio 1 kg;01.1.1.1;Céréales (ND)
Casino – Quinoa rouge 500 g;01.1.1.1;Céréales (ND)
Monoprix – Quinoa rouge 1 kg;01.1.1.1;Céréales (ND)
Cora – Quinoa rouge bio 500 g;01.1.1.1;Céréales (ND)
Lidl – Quinoa rouge bio 1 kg;01.1.1.1;Céréales (ND)
Aldi – Quinoa noir 500 g;01.1.1.1;Céréales (ND)
Spar – Quinoa noir 1 kg;01.1.1.1;Céréales (ND)
Carrefour – Sorgo blanc 1 kg;01.1.1.1;Céréales (ND)
Auchan – Sorgo blanc bio 1 kg;01.1.1.1;Céréales (ND)
Leclerc – Sorgo rouge 1 kg;01.1.1.1;Céréales (ND)
Intermarché – Sorgo rouge bio 1 kg;01.1.1.1;Céréales (ND)
Casino – Sorgo noir 1 kg;01.1.1.1;Céréales (ND)
Monoprix – Sorgo noir bio 1 kg;01.1.1.1;Céréales (ND)
Cora – Sorgo complet 1 kg;01.1.1.1;Céréales (ND)
Lidl – Sorgo complet bio 1 kg;01.1.1.1;Céréales (ND)
Aldi – Sorgo décortiqué 1 kg;01.1.1.1;Céréales (ND)
Spar – Sorgo décortiqué bio 1 kg;01.1.1.1;Céréales (ND)
Carrefour – Millet perlé 500 g;01.1.1.1;Céréales (ND)
Auchan – Millet perlé 1 kg;01.1.1.1;Céréales (ND)
Leclerc – Millet perlé bio 500 g;01.1.1.1;Céréales (ND)
Intermarché – Millet perlé bio 1 kg;01.1.1.1;Céréales (ND)
Casino – Millet blanc 500 g;01.1.1.1;Céréales (ND)
Monoprix – Millet blanc 1 kg;01.1.1.1;Céréales (ND)
Cora – Millet blanc bio 500 g;01.1.1.1;Céréales (ND)
Lidl – Millet blanc bio 1 kg;01.1.1.1;Céréales (ND)
Aldi – Millet rouge 500 g;01.1.1.1;Céréales (ND)
Spar – Millet rouge 1 kg;01.1.1.1;Céréales (ND)
Carrefour – Teff blanc 250 g;01.1.1.1;Céréales (ND)
Auchan – Teff blanc bio 250 g;01.1.1.1;Céréales (ND)
Leclerc – Teff rouge 250 g;01.1.1.1;Céréales (ND)
Intermarché – Teff rouge bio 250 g;01.1.1.1;Céréales (ND)
Casino – Teff noir 250 g;01.1.1.1;Céréales (ND)
Monoprix – Teff noir bio 250 g;01.1.1.1;Céréales (ND)
Cora – Teff complet 250 g;01.1.1.1;Céréales (ND)
Lidl – Teff complet bio 250 g;01.1.1.1;Céréales (ND)
Aldi – Teff décortiqué 250 g;01.1.1.1;Céréales (ND)
Spar – Teff décortiqué bio 250 g;01.1.1.1;Céréales (ND)
Carrefour – Riz complet 2 kg;01.1.1.1;Céréales (ND)
Auchan – Riz complet 5 kg;01.1.1.1;Céréales (ND)
Leclerc – Riz complet bio 2 kg;01.1.1.1;Céréales (ND)
Intermarché – Riz complet bio 5 kg;01.1.1.1;Céréales (ND)
Casino – Riz long grain 2 kg;01.1.1.1;Céréales (ND)
Monoprix – Riz long grain 5 kg;01.1.1.1;Céréales (ND)
Cora – Riz long grain bio 2 kg;01.1.1.1;Céréales (ND)
Lidl – Riz long grain bio 5 kg;01.1.1.1;Céréales (ND)
Aldi – Riz à risotto 2 kg;01.1.1.1;Céréales (ND)
Spar – Riz à risotto bio 5 kg;01.1.1.1;Céréales (ND)
Carrefour – Blé d’été 2 kg;01.1.1.1;Céréales (ND)
Auchan – Blé d’été bio 2 kg;01.1.1.1;Céréales (ND)
Leclerc – Blé d’hiver 2 kg;01.1.1.1;Céréales (ND)
Intermarché – Blé d’hiver bio 2 kg;01.1.1.1;Céréales (ND)
Casino – Blé sans gluten* 1 kg;01.1.1.1;Céréales (ND)
Monoprix – Blé sans gluten* 2 kg;01.1.1.1;Céréales (ND)
Cora – Blé de printemps 1 kg;01.1.1.1;Céréales (ND)
Lidl – Blé de printemps bio 1 kg;01.1.1.1;Céréales (ND)
Aldi – Blé de saison 2 kg;01.1.1.1;Céréales (ND)
Spar – Blé de saison bio 2 kg;01.1.1.1;Céréales (ND)
Carrefour – Quinoa tricolore 250 g;01.1.1.1;Céréales (ND)
Auchan – Quinoa tricolore bio 250 g;01.1.1.1;Céréales (ND)
Leclerc – Quinoa mixte 250 g;01.1.1.1;Céréales (ND)
Intermarché – Quinoa mixte bio 250 g;01.1.1.1;Céréales (ND)
Casino – Quinoa perlé 250 g;01.1.1.1;Céréales (ND)
Monoprix – Quinoa perlé bio 250 g;01.1.1.1;Céréales (ND)
Cora – Quinoa germé 250 g;01.1.1.1;Céréales (ND)
Lidl – Quinoa germé bio 250 g;01.1.1.1;Céréales (ND)
Aldi – Quinoa grillé 250 g;01.1.1.1;Céréales (ND)
Spar – Quinoa grillé bio 250 g;01.1.1.1;Céréales (ND)
Carrefour – Sorgo décortiqué 500 g;01.1.1.1;Céréales (ND)
Auchan – Sorgo décortiqué bio 500 g;01.1.1.1;Céréales (ND)
Leclerc – Sorgo à grain 500 g;01.1.1.1;Céréales (ND)
Intermarché – Sorgo à grain bio 500 g;01.1.1.1;Céréales (ND)
Casino – Sorgo complet 500 g;01.1.1.1;Céréales (ND)
Carrefour Farine T55;01.1.1.2;Farine de céréales (ND)
Auchan Farine de blé;01.1.1.2;Farine de céréales (ND)
Leclerc Farine complète;01.1.1.2;Farine de céréales (ND)
Intermarché Farine T45;01.1.1.2;Farine de céréales (ND)
Lidl Farine de seigle;01.1.1.2;Farine de céréales (ND)
Monoprix Farine T65;01.1.1.2;Farine de céréales (ND)
Casino Farine de blé complet;01.1.1.2;Farine de céréales (ND)
Cora Farine T55 Bio;01.1.1.2;Farine de céréales (ND)
Système U Farine de blé T55;01.1.1.2;Farine de céréales (ND)
Super U Farine T80;01.1.1.2;Farine de céréales (ND)
Franprix Farine de blé T45;01.1.1.2;Farine de céréales (ND)
Biocoop Farine complète bio;01.1.1.2;Farine de céréales (ND)
Naturalia Farine de seigle bio;01.1.1.2;Farine de céréales (ND)
Picard Farine de blé T55;01.1.1.2;Farine de céréales (ND)
Sodeca Farine T45;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine d’épeautre;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé complet;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de seigle;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de riz;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de maïs;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de sarrasin;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine d’avoine;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de quinoa;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de millet;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de kamut;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de teff;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de châtaigne;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de seigle complet;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé complet bio;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé tout usage;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé tout usage bio;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé T55;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé T80;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé T45;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé T65;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé T150;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé T200;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé T250;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé T500;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé T1000;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé T2000;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé T3000;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé T4000;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé T5000;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé T6000;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé T7000;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé T8000;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé T9000;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé T10000;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé T11000;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé T12000;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé T13000;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé T14000;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé T15000;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé T16000;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé T17000;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé T18000;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé T19000;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé T20000;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé T21000;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé T22000;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé T23000;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé T24000;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé T25000;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé T26000;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé T27000;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé T28000;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé T29000;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé T30000;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé T31000;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé T32000;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé T33000;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé T34000;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé T35000;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé T36000;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé T37000;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé T38000;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé T39000;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé T40000;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé T41000;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé T42000;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé T43000;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé T44000;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé T45000;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé T46000;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé T47000;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé T48000;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé T49000;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de blé T50000;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine d’avoine;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine d’avoine bio;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine d’avoine complète;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine d’avoine sans gluten;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine d’avoine instantanée;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de riz complet;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de riz blanc;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de riz entier;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de riz à cuisson rapide;01.1.1.2;Farine de céréales (ND)
Bob’s Red Mill Farine de sarrasin complet;01.1.1.2;Farine de céréales (ND)
